harvest,season,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
wedge,2019,2020.06.23,interior,377,p,l,p,p,m,rubu,a,,h,761,l,318,a,,10,,,5,,,,50,25
wedge,2019,2020.06.25,interior,378,l,m,m,l,m,rubu,a,,p,761,h,318,a,,10,,,10,,,,100,75
wedge,2019,2020.06.25,interior,379,m,l,p,h,m,rubu,a,,p,761,p,318,p,viti,10,,,2,,,,20,10
wedge,2019,2020.06.23,interior,380,p,m,m,l,m,rubu,a,,l,761,h,316,a,,10,,,8,,,,80,75
wedge,2019,2020.06.23,interior,381,p,h,m,p,h,rubu,a,,p,541,h,318,a,,10,,,8,,,,80,50
wedge,2019,2020.06.25,interior,382,l,m,p,p,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.25,interior,383,l,l,p,l,h,rubu,a,,m,761,l,318,a,,10,,,1,,,,10,100
wedge,2019,2020.06.23,perimeter,966,a,p,p,l,m,rubu,a,,h,761,p,316,p,viti,10,,,1,,,,10,100
wedge,2019,2020.06.23,perimeter,967,p,p,p,l,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.23,perimeter,968,p,m,l,l,h,rubu,a,,l,761,l,316,a,,10,,,6,,,,60,10
wedge,2019,2020.06.25,perimeter,969,l,l,l,l,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.25,perimeter,970,m,l,l,h,m,rubu,a,,m,761,m,318,a,,10,,,3,,,,30,50
wedge,2019,2020.06.25,perimeter,971,m,l,l,m,m,rubu,a,,h,samb,l,316,a,,10,,,1,,,,10,10
wedge,2019,2020.06.25,perimeter,972,p,l,p,m,h,rubu,a,,m,761,p,318,p,viti,10,,,,,,,0,10
wedge,2019,2020.06.29,perimeter,973,l,l,p,h,m,rubu,a,,m,743,p,316,m,viti,10,,,1,,,,10,1
wedge,2019,2020.06.29,perimeter,974,l,p,p,h,p,rubu,a,,m,743,m,316,p,viti,10,,,3,,,,30,10
wedge,2019,2020.06.23,perimeter,975,m,l,p,m,l,rubu,a,,m,743, m,316,a,,10,,,5,,,,50,75
